document_id,publication_date,document_type,title,local_path,source_url,retrieval_date,language,notes
rbi_20200327_monetary_policy_statement_seventh_bi_monthly_monetary_policy_statement_2019_20_resolution_235c05d3,2020-03-27,monetary_policy_statement,"Seventh Bi-monthly Monetary Policy Statement, 2019-20 Resolution of the Monetary Policy Committee (MPC) Reserve Bank of India",raw/rbi_20200327_monetary_policy_statement_seventh_bi_monthly_monetary_policy_statement_2019_20_resolution_235c05d3.txt,https://www.rbi.org.in/commonman/English/Scripts/PressReleases.aspx?Id=3191,2026-06-25,en,fetched_by=rbi_official_fetcher; source_channel=commonman_press_release_archive; extraction_method=html
rbi_20200413_mpc_minutes_minutes_of_the_monetary_policy_committee_meeting_march_24_26_and_a8b12d39,2020-04-13,mpc_minutes,"Minutes of the Monetary Policy Committee Meeting March 24, 26 and 27, 2020",raw/rbi_20200413_mpc_minutes_minutes_of_the_monetary_policy_committee_meeting_march_24_26_and_a8b12d39.txt,https://www.rbi.org.in/commonman/English/Scripts/PressReleases.aspx?Id=3202,2026-06-25,en,fetched_by=rbi_official_fetcher; source_channel=commonman_press_release_archive; extraction_method=html
rbi_20200522_monetary_policy_statement_monetary_policy_statement_2020_21_resolution_of_the_monetary_pol_96c826fa,2020-05-22,monetary_policy_statement,"Monetary Policy Statement, 2020-21: Resolution of the Monetary Policy Committee (MPC) May 20 to 22, 2020",raw/rbi_20200522_monetary_policy_statement_monetary_policy_statement_2020_21_resolution_of_the_monetary_pol_96c826fa.txt,https://www.rbi.org.in/commonman/English/Scripts/PressReleases.aspx?Id=3218,2026-06-25,en,fetched_by=rbi_official_fetcher; source_channel=commonman_press_release_archive; extraction_method=html
rbi_20200605_mpc_minutes_minutes_of_the_monetary_policy_committee_meeting_may_20_to_22_20_8c90a0ab,2020-06-05,mpc_minutes,"Minutes of the Monetary Policy Committee Meeting May 20 to 22, 2020",raw/rbi_20200605_mpc_minutes_minutes_of_the_monetary_policy_committee_meeting_may_20_to_22_20_8c90a0ab.txt,https://www.rbi.org.in/commonman/English/Scripts/PressReleases.aspx?Id=3220,2026-06-25,en,fetched_by=rbi_official_fetcher; source_channel=commonman_press_release_archive; extraction_method=html
rbi_20200806_monetary_policy_statement_monetary_policy_statement_2020_21_resolution_of_the_monetary_pol_647875f8,2020-08-06,monetary_policy_statement,"Monetary Policy Statement, 2020-21 Resolution of the Monetary Policy Committee (MPC) August 4 to 6, 2020",raw/rbi_20200806_monetary_policy_statement_monetary_policy_statement_2020_21_resolution_of_the_monetary_pol_647875f8.txt,https://www.rbi.org.in/commonman/English/Scripts/PressReleases.aspx?Id=3238,2026-06-25,en,fetched_by=rbi_official_fetcher; source_channel=commonman_press_release_archive; extraction_method=html
rbi_20200820_mpc_minutes_minutes_of_the_monetary_policy_committee_meeting_august_4_to_6_2_82119a09,2020-08-20,mpc_minutes,"Minutes of the Monetary Policy Committee Meeting August 4 to 6, 2020",raw/rbi_20200820_mpc_minutes_minutes_of_the_monetary_policy_committee_meeting_august_4_to_6_2_82119a09.txt,https://www.rbi.org.in/commonman/English/Scripts/PressReleases.aspx?Id=3249,2026-06-25,en,fetched_by=rbi_official_fetcher; source_channel=commonman_press_release_archive; extraction_method=html
rbi_20201009_monetary_policy_statement_monetary_policy_statement_2020_21_resolution_of_the_monetary_pol_63abbf25,2020-10-09,monetary_policy_statement,"Monetary Policy Statement, 2020-21 Resolution of the Monetary Policy Committee (MPC) October 7-9, 2020",raw/rbi_20201009_monetary_policy_statement_monetary_policy_statement_2020_21_resolution_of_the_monetary_pol_63abbf25.txt,https://www.rbi.org.in/commonman/English/Scripts/PressReleases.aspx?Id=3255,2026-06-25,en,fetched_by=rbi_official_fetcher; source_channel=commonman_press_release_archive; extraction_method=html
rbi_20201023_mpc_minutes_minutes_of_the_monetary_policy_committee_meeting_october_7_to_9_5f121c98,2020-10-23,mpc_minutes,"Minutes of the Monetary Policy Committee Meeting October 7 to 9, 2020",raw/rbi_20201023_mpc_minutes_minutes_of_the_monetary_policy_committee_meeting_october_7_to_9_5f121c98.txt,https://www.rbi.org.in/commonman/English/Scripts/PressReleases.aspx?Id=3277,2026-06-25,en,fetched_by=rbi_official_fetcher; source_channel=commonman_press_release_archive; extraction_method=html
rbi_20201204_monetary_policy_statement_monetary_policy_statement_2020_21_resolution_of_the_monetary_pol_4f65c536,2020-12-04,monetary_policy_statement,"Monetary Policy Statement, 2020-21 Resolution of the Monetary Policy Committee (MPC) December 2-4, 2020",raw/rbi_20201204_monetary_policy_statement_monetary_policy_statement_2020_21_resolution_of_the_monetary_pol_4f65c536.txt,https://www.rbi.org.in/commonman/English/Scripts/PressReleases.aspx?Id=3273,2026-06-25,en,fetched_by=rbi_official_fetcher; source_channel=commonman_press_release_archive; extraction_method=html
rbi_20201218_mpc_minutes_minutes_of_the_monetary_policy_committee_meeting_december_2_to_4_5ca48c34,2020-12-18,mpc_minutes,"Minutes of the Monetary Policy Committee Meeting December 2 to 4, 2020",raw/rbi_20201218_mpc_minutes_minutes_of_the_monetary_policy_committee_meeting_december_2_to_4_5ca48c34.txt,https://www.rbi.org.in/commonman/English/Scripts/PressReleases.aspx?Id=3272,2026-06-25,en,fetched_by=rbi_official_fetcher; source_channel=commonman_press_release_archive; extraction_method=html
rbi_20210407_monetary_policy_statement_resolution_of_the_monetary_policy_committee_mpc_april_5_7_2021_6aed2062,2021-04-07,monetary_policy_statement,"Resolution of the Monetary Policy Committee (MPC) April 5-7, 2021",raw/rbi_20210407_monetary_policy_statement_resolution_of_the_monetary_policy_committee_mpc_april_5_7_2021_6aed2062.txt,https://www.rbi.org.in/commonman/English/Scripts/PressReleases.aspx?Id=3288,2026-06-25,en,fetched_by=rbi_official_fetcher; source_channel=commonman_press_release_archive; extraction_method=html
rbi_20210422_mpc_minutes_minutes_of_the_monetary_policy_committee_meeting_april_5_7_2021_19e00a72,2021-04-22,mpc_minutes,"Minutes of the Monetary Policy Committee Meeting, April 5-7, 2021",raw/rbi_20210422_mpc_minutes_minutes_of_the_monetary_policy_committee_meeting_april_5_7_2021_19e00a72.txt,https://www.rbi.org.in/commonman/English/Scripts/PressReleases.aspx?Id=3294,2026-06-25,en,fetched_by=rbi_official_fetcher; source_channel=commonman_press_release_archive; extraction_method=html
