date,macro_label,rule_based_regime,hmm_walk_forward_regime,sentence_count,agreement_rule_based,agreement_hmm,corpus_type
2022-08-08,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-09,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-10,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-11,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-12,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-15,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-16,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-17,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-18,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-19,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-22,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-23,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-24,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-25,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-26,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-29,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-30,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-08-31,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-01,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-02,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-05,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-06,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-07,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-08,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-09,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-12,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-13,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-14,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-15,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-16,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-19,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-20,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-21,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-22,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-23,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-26,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-27,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-28,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-29,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-09-30,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-03,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-04,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-05,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-06,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-07,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-10,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-11,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-12,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-13,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-14,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-17,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-18,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-19,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-20,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-21,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-24,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-25,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-26,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-27,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-28,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-10-31,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-11-01,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2022-11-02,risk_on_macro,Crisis,Unknown,4,False,,synthetic_fixture
2026-05-04,risk_on_macro,Crisis,Risk-On,4,False,True,synthetic_fixture
2026-05-05,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-06,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-07,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-08,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-11,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-12,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-13,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-14,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-15,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-18,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-19,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-20,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-21,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-22,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-25,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-26,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-27,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-28,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-05-29,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-01,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-02,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-03,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-04,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-05,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-08,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-09,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-10,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-11,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-12,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-15,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-16,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-17,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
2026-06-18,risk_on_macro,Crisis,Risk-Off,4,False,False,synthetic_fixture
