date,macro_label,rule_based_regime,hmm_walk_forward_regime,sentence_count,agreement_rule_based,agreement_hmm,corpus_type
2022-01-03,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-04,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-05,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-06,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-07,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-10,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-11,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-12,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-13,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-14,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-17,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-18,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-19,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-20,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-21,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-24,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-25,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-26,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-27,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-28,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-01-31,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-02-01,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-02-02,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-02-03,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-02-04,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-02-07,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-02-08,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-02-09,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-02-10,insufficient_macro_data,Unknown,Unknown,0,,,synthetic_fixture
2022-02-11,risk_off_macro,Unknown,Unknown,4,,,synthetic_fixture
2022-02-14,risk_off_macro,Unknown,Unknown,4,,,synthetic_fixture
