date,sentiment_label,rule_based_regime,hmm_regime,article_count,decision_article_count,agreement_rule_based,agreement_hmm
2022-08-23,risk_on,Crisis,Unknown,0,1,False,
2022-08-24,risk_on,Crisis,Unknown,0,1,False,
2022-08-25,risk_on,Crisis,Unknown,0,1,False,
2022-08-26,risk_on,Crisis,Unknown,0,1,False,
2022-08-29,risk_on,Crisis,Unknown,0,1,False,
2022-10-11,risk_on,Crisis,Unknown,0,1,False,
2022-10-12,risk_on,Crisis,Unknown,0,1,False,
2022-10-13,risk_on,Crisis,Unknown,0,1,False,
2022-10-14,risk_on,Crisis,Unknown,0,1,False,
2022-10-17,risk_on,Crisis,Unknown,0,1,False,
2023-01-17,risk_on,Crisis,Unknown,0,1,False,
2023-01-18,risk_on,Crisis,Unknown,0,1,False,
2023-01-19,risk_on,Crisis,Unknown,0,1,False,
2023-01-20,risk_on,Crisis,Unknown,0,1,False,
2023-01-23,risk_on,Crisis,Unknown,0,1,False,
2023-03-07,risk_on,Crisis,Unknown,0,1,False,
2023-03-08,risk_on,Crisis,Unknown,0,1,False,
2023-03-09,risk_on,Crisis,Unknown,0,1,False,
2023-03-10,risk_on,Crisis,Unknown,0,1,False,
2023-03-13,risk_on,Crisis,Unknown,0,1,False,
2023-05-16,risk_on,Crisis,Risk-On,0,1,False,True
2023-05-17,risk_on,Crisis,Risk-On,0,1,False,True
2023-05-18,risk_on,Crisis,Risk-On,0,1,False,True
2023-05-19,risk_on,Crisis,Risk-On,0,1,False,True
2023-05-22,risk_on,Crisis,Risk-On,0,1,False,True
2023-07-25,risk_on,Crisis,Risk-On,0,1,False,True
2023-07-26,risk_on,Crisis,Risk-On,0,1,False,True
2023-07-27,risk_on,Crisis,Risk-On,0,1,False,True
2023-07-28,risk_on,Crisis,Risk-On,0,1,False,True
2023-07-31,risk_on,Crisis,Risk-On,0,1,False,True
2023-09-12,neutral,Crisis,Risk-On,0,1,False,False
2023-09-13,neutral,Crisis,Risk-On,0,1,False,False
2023-09-14,neutral,Crisis,Risk-On,0,1,False,False
2023-09-15,neutral,Crisis,Risk-On,0,1,False,False
2023-09-18,neutral,Crisis,Risk-On,0,1,False,False
2023-11-21,risk_on,Stress,Risk-On,0,1,False,True
2023-11-22,risk_on,Stress,Risk-On,0,1,False,True
2023-11-23,risk_on,Stress,Risk-On,0,1,False,True
2023-11-24,risk_on,Stress,Risk-On,0,1,False,True
2023-11-27,risk_on,Stress,Risk-On,0,1,False,True
2024-01-09,risk_on,Crisis,Risk-On,0,1,False,True
