date,sentiment_label,rule_based_regime,hmm_regime,article_count,decision_article_count,agreement_rule_based,agreement_hmm
2022-01-03,unknown,Unknown,Unknown,0,0,,
2022-01-04,unknown,Unknown,Unknown,0,0,,
2022-01-05,unknown,Unknown,Unknown,0,0,,
2022-01-06,unknown,Unknown,Unknown,0,0,,
2022-01-07,unknown,Unknown,Unknown,1,0,,
2022-01-10,risk_on,Unknown,Unknown,0,1,,
2022-01-11,risk_on,Unknown,Unknown,0,1,,
2022-01-12,risk_on,Unknown,Unknown,0,1,,
2022-01-13,risk_on,Unknown,Unknown,0,1,,
2022-01-14,risk_on,Unknown,Unknown,0,1,,
2022-01-17,unknown,Unknown,Unknown,0,0,,
2022-01-18,unknown,Unknown,Unknown,0,0,,
2022-01-19,unknown,Unknown,Unknown,0,0,,
2022-01-20,unknown,Unknown,Unknown,0,0,,
2022-01-21,unknown,Unknown,Unknown,0,0,,
2022-01-24,unknown,Unknown,Unknown,0,0,,
2022-01-25,unknown,Unknown,Unknown,0,0,,
2022-01-26,unknown,Unknown,Unknown,0,0,,
2022-01-27,unknown,Unknown,Unknown,0,0,,
2022-01-28,unknown,Unknown,Unknown,0,0,,
2022-01-31,unknown,Unknown,Unknown,0,0,,
2022-02-01,unknown,Unknown,Unknown,0,0,,
2022-02-02,unknown,Unknown,Unknown,0,0,,
2022-02-03,unknown,Unknown,Unknown,0,0,,
2022-02-04,unknown,Unknown,Unknown,0,0,,
2022-02-07,unknown,Unknown,Unknown,0,0,,
2022-02-08,unknown,Unknown,Unknown,0,0,,
2022-02-09,unknown,Unknown,Unknown,0,0,,
2022-02-10,unknown,Unknown,Unknown,0,0,,
2022-02-11,unknown,Unknown,Unknown,0,0,,
2022-02-14,unknown,Unknown,Unknown,1,0,,
2022-02-15,risk_off,Unknown,Unknown,0,1,,
2022-02-16,risk_off,Unknown,Unknown,0,1,,
2022-02-17,risk_off,Unknown,Unknown,0,1,,
2022-02-18,risk_off,Unknown,Unknown,0,1,,
2022-02-21,risk_off,Unknown,Unknown,0,1,,
2022-02-22,unknown,Unknown,Unknown,0,0,,
2022-02-23,unknown,Unknown,Unknown,0,0,,
2022-02-24,unknown,Unknown,Unknown,0,0,,
2022-02-25,unknown,Unknown,Unknown,0,0,,
2022-02-28,unknown,Unknown,Unknown,0,0,,
2022-03-01,unknown,Unknown,Unknown,0,0,,
2022-03-02,unknown,Unknown,Unknown,0,0,,
2022-03-03,unknown,Unknown,Unknown,0,0,,
2022-03-04,unknown,Unknown,Unknown,0,0,,
2022-03-07,unknown,Unknown,Unknown,0,0,,
2022-03-08,unknown,Unknown,Unknown,1,0,,
2022-03-09,risk_off,Unknown,Unknown,0,1,,
2022-03-10,risk_off,Unknown,Unknown,0,1,,
2022-03-11,risk_off,Unknown,Unknown,0,1,,
2022-03-14,risk_off,Unknown,Unknown,0,1,,
2022-03-15,risk_off,Unknown,Unknown,0,1,,
2022-03-16,unknown,Unknown,Unknown,0,0,,
2022-03-17,unknown,Unknown,Unknown,0,0,,
2022-03-18,unknown,Unknown,Unknown,0,0,,
2022-03-21,unknown,Unknown,Unknown,0,0,,
2022-03-22,unknown,Unknown,Unknown,0,0,,
2022-03-23,unknown,Unknown,Unknown,0,0,,
2022-03-24,unknown,Unknown,Unknown,0,0,,
2022-03-25,unknown,Unknown,Unknown,0,0,,
2022-03-28,unknown,Unknown,Unknown,0,0,,
2022-03-29,unknown,Unknown,Unknown,0,0,,
2022-03-30,unknown,Unknown,Unknown,0,0,,
2022-03-31,unknown,Unknown,Unknown,0,0,,
2022-04-01,unknown,Unknown,Unknown,0,0,,
2022-04-04,unknown,Unknown,Unknown,0,0,,
2022-04-05,unknown,Unknown,Unknown,0,0,,
2022-04-06,unknown,Unknown,Unknown,0,0,,
2022-04-07,unknown,Unknown,Unknown,0,0,,
2022-04-08,unknown,Unknown,Unknown,0,0,,
2022-04-11,unknown,Unknown,Unknown,0,0,,
2022-04-12,unknown,Unknown,Unknown,0,0,,
2022-04-13,unknown,Unknown,Unknown,0,0,,
2022-04-14,unknown,Unknown,Unknown,0,0,,
2022-04-15,unknown,Unknown,Unknown,0,0,,
2022-04-18,unknown,Unknown,Unknown,1,0,,
2022-04-19,risk_off,Unknown,Unknown,0,1,,
2022-04-20,risk_off,Unknown,Unknown,0,1,,
2022-04-21,risk_off,Unknown,Unknown,0,1,,
2022-04-22,risk_off,Unknown,Unknown,0,1,,
2022-04-25,risk_off,Unknown,Unknown,0,1,,
2022-04-26,unknown,Unknown,Unknown,0,0,,
2022-04-27,unknown,Unknown,Unknown,0,0,,
