strategy,strategy_type,regime_source,policy_preset,return_basis,cagr,volatility,sharpe,sortino,calmar,max_drawdown,final_value,gross_final_value,var_95,cvar_95,max_drawdown_duration,total_turnover,average_turnover,total_transaction_cost,number_of_rebalances,average_risky_exposure,minimum_risky_exposure,maximum_risky_exposure,average_defensive_weight,maximum_defensive_weight,number_of_policy_switches,most_common_regime,allocator_usage_distribution,covariance_method_usage_distribution,net_reconciliation_error,gross_reconciliation_error
Equal Weight,fixed,,,net,0.12555750366550966,0.15594010394125304,0.7091474808655043,0.77210474890482,0.38114899260297197,-0.3294184324299081,2122049.7837241846,2127446.4130725046,-0.013009394267645798,-0.02287941272185289,267,1.6932298244325903,0.021708074672212696,4020.61347075309,78,1.0,1.0,1.0,0.0,0.0,0,,{},{},0.0,0.0
Inverse Volatility,fixed,,,net,0.12469955588821802,0.14372675197760001,0.7511787804994627,0.8170688439037475,0.41007374324570145,-0.3040905640561886,2111781.5811586073,2117823.048155793,-0.012339814479020071,-0.020829570417892868,261,1.9044632351069362,0.024416195321883796,4541.831889347517,78,1.0,1.0,1.0,0.0,0.0,0,,{},{},0.0,0.0
HRP,fixed,,,net,0.12797664900646932,0.11785154936350178,0.9116004707339401,1.0000080967121467,0.5702917099643404,-0.22440559238441593,2151229.799548304,2168701.0029653963,-0.010148734978154262,-0.01680297847626952,147,5.392093658199649,0.06912940587435447,13814.491666964992,78,1.0,1.0,1.0,0.0,0.0,0,,{},{},0.0,0.0
HERC,fixed,,,net,0.15012792421790433,0.1218424364072474,1.0452660387566814,1.1523238309024026,0.7938551178912501,-0.18911249777754824,2434518.0365511887,2461364.0126812635,-0.009777775807887511,-0.01762616313706459,268,7.310451748394683,0.0937237403640344,18206.071957231776,78,1.0,1.0,1.0,0.0,0.0,0,,{},{},0.0,0.0
Regime-Adaptive Rule-Based — Conservative,regime_adaptive,rule_based_lagged,conservative,net,0.10695038365895249,0.07629723692723762,1.1080470339851665,1.312205560193575,1.1036224798383854,-0.09690848602016,1908552.4427854498,1974082.3938996603,-0.006724599347790927,-0.01086772516167148,312,22.499025667481497,0.3260728357606015,46098.617042963124,69,0.6654033359216468,0.1215795707837336,0.9,0.3345966640783532,0.8784204292162664,100,Calm,"{""herc"": 0.578915, ""hrp"": 0.421085}","{""ewma_ledoit_wolf"": 0.429819, ""ledoit_wolf"": 0.570181}",0.0,0.0
Regime-Adaptive Rule-Based — Balanced,regime_adaptive,rule_based_lagged,balanced,net,0.11267934601180896,0.08495086790306736,1.064204989765191,1.2379353178603167,0.988504530148956,-0.11398971130140345,1972263.2903753375,2047170.7542179448,-0.007673027354839301,-0.012264443697521665,336,24.84345549436608,0.34032130814200107,52367.70045724741,73,0.7660277502893872,0.15197446347966703,1.0,0.2339722497106128,0.848025536520333,100,Calm,"{""herc"": 0.578915, ""hrp"": 0.421085}","{""ewma_ledoit_wolf"": 0.429819, ""ledoit_wolf"": 0.570181}",0.0,0.0
Regime-Adaptive Rule-Based — Aggressive,regime_adaptive,rule_based_lagged,aggressive,net,0.12099206583808142,0.09123571938455775,1.0786085432811625,1.2295838956043608,0.9512337332954841,-0.12719488555027658,2067889.1780461753,2144074.8948241347,-0.008271478956442877,-0.013224679935842502,337,24.112616751265488,0.3303098185104861,52165.32128732347,73,0.8176746279209526,0.18236935617560035,1.0,0.18232537207904734,0.8176306438243996,100,Calm,"{""herc"": 0.578915, ""hrp"": 0.421085}","{""ewma_ledoit_wolf"": 0.429819, ""ledoit_wolf"": 0.570181}",0.0,0.0
Regime-Adaptive HMM Walk-Forward — Conservative,regime_adaptive,hmm_walk_forward,conservative,net,0.10022772165811888,0.07197189295832647,1.085460521869126,1.3487866313949508,1.1953279813116724,-0.0838495569627139,1836011.1822130384,1863294.4495123553,-0.00707763631078435,-0.00973707955147592,328,9.831020625751503,0.26570326015544604,23428.880297859036,37,0.7411446155599349,0.1215795707837336,0.9,0.25885538444006506,0.8784204292162664,57,Calm,"{""herc"": 0.826575, ""hrp"": 0.173425}","{""ewma_ledoit_wolf"": 0.494697, ""ledoit_wolf"": 0.505303}",0.0,0.0
Regime-Adaptive HMM Walk-Forward — Balanced,regime_adaptive,hmm_walk_forward,balanced,net,0.10844096194905295,0.08381393897921285,1.031867916066983,1.2523626745868786,1.0569675660522457,-0.10259630042772072,1924959.532632619,1957880.0725411843,-0.008325996983684412,-0.01148300548206026,200,11.301409731020884,0.2690811840719258,28285.63593437151,42,0.8458680358607183,0.15197446347966703,1.0,0.15413196413928149,0.848025536520333,57,Calm,"{""herc"": 0.826575, ""hrp"": 0.173425}","{""ewma_ledoit_wolf"": 0.494697, ""ledoit_wolf"": 0.505303}",0.0,0.0
Regime-Adaptive HMM Walk-Forward — Aggressive,regime_adaptive,hmm_walk_forward,aggressive,net,0.11093591542131032,0.08998030833539875,0.9921174692713796,1.1854618287259906,0.9344420892785645,-0.11871887695786298,1952687.9756081146,1986396.4235373393,-0.008583641772436368,-0.012529340808957417,359,11.406576711243513,0.2715851597915122,28907.03790056226,42,0.8942072392948515,0.18236935617560035,1.0,0.10579276070514865,0.8176306438243996,57,Calm,"{""herc"": 0.826575, ""hrp"": 0.173425}","{""ewma_ledoit_wolf"": 0.494697, ""ledoit_wolf"": 0.505303}",0.0,0.0
