decision_date,nlp_signal_date_used,source_mix,nlp_label,regime_label,allocation_before_overlay,allocation_after_overlay,overlay_action,overlay_variant,nlp_risk_off_eligible,nlp_risk_off_persistent,market_confirmation,lookahead_check_passed
2026-04-01,,none,insufficient_nlp_data,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-02,2026-04-01,none,insufficient_nlp_data,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-06,2026-04-03,none,insufficient_nlp_data,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-07,2026-04-06,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-08,2026-04-07,news_only,nlp_risk_on,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-09,2026-04-08,news_only,nlp_risk_on,Normal,core,core,no_overlay,confirmation,False,False,True,True
2026-04-10,2026-04-09,news_only,nlp_risk_on,Normal,core,core,no_overlay,confirmation,False,False,True,True
2026-04-13,2026-04-10,news_only,nlp_risk_on,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-15,2026-04-14,news_only,nlp_risk_on,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-16,2026-04-15,news_only,nlp_risk_on,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-17,2026-04-16,news_only,nlp_risk_on,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-20,2026-04-17,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-21,2026-04-20,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-22,2026-04-21,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-23,2026-04-22,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-24,2026-04-23,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-27,2026-04-24,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-28,2026-04-27,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-29,2026-04-28,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-04-30,2026-04-29,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-01,2026-04-30,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-04,2026-05-01,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-05,2026-05-04,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-06,2026-05-05,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-07,2026-05-06,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-08,2026-05-07,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-11,2026-05-08,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-12,2026-05-11,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-13,2026-05-12,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-14,2026-05-13,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-15,2026-05-14,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-18,2026-05-15,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-19,2026-05-18,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-20,2026-05-19,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-21,2026-05-20,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-22,2026-05-21,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-25,2026-05-22,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-26,2026-05-25,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-27,2026-05-26,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-28,2026-05-27,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
2026-05-29,2026-05-28,news_only,nlp_neutral,Crisis,defensive,core,defensive_not_confirmed_core,confirmation,False,False,True,True
