stress_period,start_date,end_date,strategy_role,strategy,period_return,max_drawdown,volatility,var_95_positive_loss,es_95_positive_loss,drawdown_duration,n_observations,drawdown_reduction_vs_benchmark,drawdown_reduction_vs_best_fixed,recovery_days
COVID crash,2020-02-01,2020-04-30,Best Adaptive,Regime-Adaptive HMM Walk-Forward — Conservative,-0.03214843351129659,-0.07432642671662004,0.08139087817225402,0.011887873244100653,0.01540020925093688,45,58,0.2500562440424081,0.1147860710609282,291.0
COVID crash,2020-02-01,2020-04-30,Best Fixed,HERC,0.04347147493925885,-0.18911249777754824,0.3116711023829108,0.0359639780274828,0.05231394857327535,42,58,0.13527017298147992,0.0,24.0
COVID crash,2020-02-01,2020-04-30,Benchmark,Equal Weight,-0.13528186531146702,-0.32438267075902816,0.4832438614627802,0.05156778537433863,0.08970310708144154,49,58,0.0,-0.13527017298147992,160.0
2022 rate/inflation shock,2022-01-01,2022-12-31,Best Adaptive,Regime-Adaptive HMM Walk-Forward — Conservative,0.09751603621289617,-0.057336069459914873,0.07785666789378014,0.007612259067060967,0.00922294722717915,77,248,0.06020861225045471,0.004379464203392747,34.0
2022 rate/inflation shock,2022-01-01,2022-12-31,Best Fixed,HERC,0.15084898097755284,-0.06171553366330762,0.09245482787816517,0.008894571383567574,0.0110222384350353,74,248,0.05582914804706196,0.0,32.0
2022 rate/inflation shock,2022-01-01,2022-12-31,Benchmark,Equal Weight,0.11584867410506106,-0.11754468171036958,0.1471923316237267,0.014772659294212174,0.019558759390884344,85,248,0.0,-0.05582914804706196,35.0
Worst 1-month,2020-02-20,2020-03-23,Best Adaptive,Regime-Adaptive HMM Walk-Forward — Conservative,-0.07432642671662004,-0.07269499870351148,0.10437041637433676,0.01536604903019667,0.016667280570948406,21,21,0.2487931082944087,0.11641749907403698,291.0
Worst 1-month,2020-02-20,2020-03-23,Best Fixed,HERC,-0.1792964143974768,-0.18911249777754846,0.387729375015989,0.046706065001289376,0.057058581951902054,19,21,0.13237560922037173,0.0,24.0
Worst 1-month,2020-02-20,2020-03-23,Benchmark,Equal Weight,-0.32275011348725946,-0.3214881069979202,0.5990343849511803,0.08146603592554734,0.09999713823339645,21,21,0.0,-0.13237560922037173,160.0
Worst 3-month,2020-01-03,2020-04-03,Best Adaptive,Regime-Adaptive HMM Walk-Forward — Conservative,-0.03757710982401752,-0.07733422527370548,0.09055219092541131,0.011588182480256268,0.014478969659515478,46,63,0.25208420715620283,0.11177827250384287,291.0
Worst 3-month,2020-01-03,2020-04-03,Best Fixed,HERC,-0.060312327622743855,-0.18911249777754835,0.27448671791198404,0.03362015254181271,0.04792377782850932,27,63,0.14030593465235996,0.0,24.0
Worst 3-month,2020-01-03,2020-04-03,Benchmark,Equal Weight,-0.2629345331202304,-0.3294184324299083,0.4192474985842967,0.047618056812843854,0.07939513285746613,47,63,0.0,-0.14030593465235996,160.0
Worst 6-month,2025-12-08,2026-06-10,Best Adaptive,Regime-Adaptive HMM Walk-Forward — Conservative,-0.03172668578626803,-0.08384955696271357,0.0950952578191955,0.008963858771255911,0.012952785019526094,80,126,0.0625949242509658,0.07221238725605172,
Worst 6-month,2025-12-08,2026-06-10,Best Fixed,HERC,-0.07092659616157315,-0.1560619442187653,0.19042607043739393,0.01735279814513964,0.03339485406480661,89,126,-0.009617463005085924,0.0,
Worst 6-month,2025-12-08,2026-06-10,Benchmark,Equal Weight,-0.13514387285884144,-0.14644448121367937,0.14222322480507157,0.015711978846495608,0.020209599192073196,115,126,0.0,0.009617463005085924,
